"","SiteSubsitePlot","Duration"
"522","ABISKO:ABISKODRY_PADDUS:CTL_4",6
"523","ABISKO:ABISKODRY_PADDUS:CTL_5",6
"524","ABISKO:ABISKODRY_PADDUS:CTL_6",6
"525","SADVENT:MES_POINTFRAME:DCUA",11
"526","SADVENT:MES_POINTFRAME:DDUA",11
"527","SADVENT:MES_POINTFRAME:DEUA",9
"528","SADVENT:MES_POINTFRAME:DFUA",11
"529","LATNJA:POOR_HEATH:Clip 3 B",18
"530","LATNJA:POOR_HEATH:Clip 3 C1",6
"531","LATNJA:POOR_HEATH:Clip 3 C2",18
"532","LATNJA:POOR_HEATH:Clip 3 C3",6
"533","LATNJA:POOR_HEATH:Clip 4 B",18
"534","LATNJA:POOR_HEATH:Clip 4 C1",6
"535","LATNJA:POOR_HEATH:Clip 4 C2",6
"536","LATNJA:POOR_HEATH:Clip 4 C3",18
"537","LATNJA:RICH_MEADOW:Clip 1 B",18
"538","LATNJA:RICH_MEADOW:Clip 1 C1",6
"539","LATNJA:RICH_MEADOW:Clip 1 C2",6
"540","LATNJA:RICH_MEADOW:Clip 1 C3",18
"541","LATNJA:RICH_MEADOW:Clip 2 B",18
"542","LATNJA:RICH_MEADOW:Clip 2 C1",6
"543","LATNJA:RICH_MEADOW:Clip 2 C2",18
"544","LATNJA:RICH_MEADOW:Clip 2 C3",6
"545","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_11",10
"546","TOOLIK:MOIST:17",14
"547","KANGER:DOPEY:B_GRAZED",13
"548","KANGER:SNEEZY:A_GRAZED",13
"549","KANGER:SNEEZY:G_GRAZED",11
"550","ZACKENBERG:ABRASION PLATEAU:A1",11
"551","ZACKENBERG:ABRASION PLATEAU:A2",11
"552","ZACKENBERG:ABRASION PLATEAU:A5",11
"553","ZACKENBERG:CASSIOPE TETRAGONA HEATH:C2",11
"554","ZACKENBERG:CASSIOPE TETRAGONA HEATH:C3",11
